ACCESS-CM2,ACCESS-ESM1-5,CanESM5,CMCC-ESM2,EC-Earth3-CC,FGOALS-g3,GFDL-CM4,GFDL-ESM4,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,TaiESM1,OBS1
294.1029453,297.8060589,296.5343049,295.2139582,295.4653494,294.651894,294.4424398,294.2210467,295.1827736,295.1613373,295.3690063,294.8443995,296.5301245,296.0952869,296.408525,294.9982925,293.6947369,296.2236365,295.7183321,296.249549,294.7957136
294.1299501,297.8727126,296.5540696,295.2608217,295.5142195,294.6655756,294.5063687,294.274118,295.1912346,295.1600496,295.3991597,294.8662792,296.551327,296.1750941,296.4268552,295.0372942,293.7005504,296.2528431,295.7489837,296.2666396,294.8130879
294.1569548,297.9393663,296.5738343,295.3076852,295.5630896,294.6792573,294.5702976,294.3271893,295.1996956,295.1587618,295.4293131,294.8881589,296.5725295,296.2549014,296.4451854,295.0747938,293.7063638,296.2820497,295.7796353,296.2837301,294.8339206
294.1839596,298.00602,296.593599,295.3545487,295.6119597,294.6929389,294.6342265,294.3802606,295.2081565,295.1574741,295.4594665,294.9100386,296.593732,296.3347087,296.4635156,295.1107913,293.7121773,296.3112563,295.810287,296.3008206,294.8582115
294.2109643,298.0726737,296.6133637,295.4014122,295.6478495,294.7066205,294.6981554,294.4333319,295.2166175,295.1561863,295.4896199,294.9319183,296.6149345,296.4145159,296.4818458,295.1467888,293.7179907,296.3404629,295.8409386,296.3179112,294.8825025
294.2379691,298.1393274,296.6331284,295.4482757,295.6447985,294.7203022,294.7620842,294.4864032,295.2250784,295.1548986,295.5197732,294.953798,296.6361369,296.4943232,296.500176,295.1827863,293.7238042,296.3696695,295.8715902,296.3350017,294.9067935
294.2649738,298.2059811,296.6528931,295.4951391,295.6417474,294.7339838,294.8260131,294.5394745,295.2335394,295.1536108,295.5499266,294.9756777,296.6573394,296.5741304,296.5185061,295.2187839,293.7296176,296.3988761,295.9022419,296.3520922,294.9310844
294.2919786,298.2726348,296.6726578,295.5420026,295.6386964,294.7476654,294.889942,294.5925458,295.2420004,295.152323,295.58008,294.9975574,296.6785419,296.6539377,296.5368363,295.2547814,293.7354311,296.4280827,295.9328935,296.3691828,294.9553754
294.0562572,297.8010075,296.4870528,295.1712636,295.4867055,294.5687604,294.3928578,294.159354,295.1677548,295.1443683,295.2923283,294.8088331,296.4465556,296.0685082,296.3628105,294.9228178,293.637377,296.1832047,295.7240491,296.2064714,294.7205106
294.0831858,297.8677142,296.5074227,295.2209523,295.5428553,294.5832475,294.4600358,294.2155795,295.175303,295.1422689,295.3239503,294.8303902,296.4689086,296.1535785,296.3819536,294.9631387,293.6440722,296.2132555,295.75418,296.2239203,294.7382048
294.1101144,297.9344209,296.5277926,295.2706411,295.599005,294.5977345,294.5272139,294.271805,295.1828513,295.1401694,295.3555723,294.8519473,296.4912616,296.2386487,296.4010966,295.0017723,293.6507674,296.2433062,295.7843109,296.2413691,294.7602298
294.1370429,298.0011275,296.5481625,295.3203299,295.6551547,294.6122215,294.594392,294.3280304,295.1903995,295.13807,295.3871943,294.8735044,296.5136147,296.323719,296.4202396,295.0387187,293.6574626,296.273357,295.8144417,296.258818,294.7865856
294.1639715,298.0678342,296.5685323,295.3700187,295.6946874,294.6267086,294.66157,294.3842559,295.1979477,295.1359705,295.4188163,294.8950615,296.5359677,296.4087892,296.4393826,295.075665,293.6641578,296.3034078,295.8445726,296.2762669,294.8129414
294.1909,298.1345409,296.5889022,295.4197074,295.6843691,294.6411956,294.7287481,294.4404814,295.2054959,295.133871,295.4504383,294.9166185,296.5583207,296.4938594,296.4585257,295.1126113,293.670853,296.3334585,295.8747035,296.2937157,294.8392973
294.2178286,298.2012476,296.6092721,295.4693962,295.6740507,294.6556826,294.7959261,294.4967069,295.2130441,295.1317716,295.4820603,294.9381756,296.5806737,296.5789297,296.4776687,295.1495577,293.6775482,296.3635093,295.9048344,296.3111646,294.8656531
294.2447572,298.2679543,296.629642,295.519085,295.6637324,294.6701697,294.8631042,294.5529324,295.2205923,295.1296721,295.5136823,294.9597327,296.6030267,296.6639999,296.4968117,295.186504,293.6842434,296.3935601,295.9349653,296.3286135,294.8920089
294.0632739,297.9294754,296.4817509,295.2335971,295.6349204,294.5162117,294.4841302,294.2164206,295.1660069,295.121577,295.2818315,294.8157357,296.4099938,296.222396,296.359193,294.9665025,293.6034637,296.2045628,295.7889864,296.1990082,294.7706028
294.0901263,297.9962351,296.5027259,295.2861111,295.6983497,294.5315042,294.5545575,294.2758003,295.1726424,295.1186658,295.3149221,294.8369702,296.4334973,296.3127293,296.3793905,295.0028695,293.6114397,296.2354577,295.8185965,296.2168154,294.7948335
294.1169786,298.0629948,296.523701,295.3386251,295.7415253,294.5467966,294.6249847,294.3351799,295.1792779,295.1157547,295.3480127,294.8582046,296.4570009,296.4030625,296.3995881,295.0392365,293.6194156,296.2663527,295.8482067,296.2346226,294.8190642
294.143831,298.1297545,296.5446761,295.3911392,295.7239396,294.562089,294.6954119,294.3945596,295.1859133,295.1128435,295.3811033,294.8794391,296.4805044,296.4933957,296.4197856,295.0756035,293.6273915,296.2972476,295.8778168,296.2524298,294.8432949
294.1706834,298.1965142,296.5656511,295.4436532,295.706354,294.5773815,294.7658391,294.4539393,295.1925488,295.1099324,295.414194,294.9006736,296.5040079,296.5837289,296.4399831,295.1119705,293.6353675,296.3281426,295.9074269,296.270237,294.8675256
294.1975357,298.2632739,296.5866262,295.4961673,295.6887684,294.5926739,294.8362664,294.513319,295.1991843,295.1070212,295.4472846,294.921908,296.5275114,296.6740622,296.4601806,295.1483375,293.6433434,296.3590375,295.9370371,296.2880442,294.8917563
294.2243881,298.2763589,296.6076012,295.5486813,295.6711827,294.6079664,294.8669528,294.5480548,295.2058197,295.1041101,295.4803752,294.9431425,296.5510149,296.7246145,296.482438,295.1847045,293.6590953,296.3899325,295.9666472,296.3058514,294.915987
294.2512405,298.2357691,296.6285763,295.6011954,295.6535971,294.6232588,294.8578983,294.5581469,295.2124552,295.1011989,295.5134658,294.9643769,296.5745184,296.735386,296.5067553,295.2210715,293.6826231,296.4208274,295.9962573,296.3236586,294.9402177
